juvtotal1,juvtotal,juvtotal2,area,juvbranch,juvmass,juvencrust,SANDRUBBLE,CCA,MACROALGAE,herbivores,urchins,complexity,island,site,habitat,habitatpat,habitatgra,habitatcar
0,0,0,0.25,0,0,0,0,0,76,313.87,0,2.5,Praslin,PBSA,pat,1,0,0
0.5,2,5,0.25,0,0,5,2,0,40,108.72,0,2,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,5.33,0,64,510.55,0,1.5,Praslin,PBSA,pat,1,0,0
0.5,2,5,0.25,0,0,5,2,0,64,500.42,0,2.5,Praslin,PBSA,pat,1,0,0
0.5,2,5,0.25,0,0,5,10,0,64,512.37,11,2.5,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,4,0,69.33,872.27,0,2,Praslin,PBSA,pat,1,0,0
1,4,10,0.25,5,0,5,0,0,98,949.81,9,2,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,6.67,0,58.27,477.87,19,2.5,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,36,0,58.4,907.35,0,2,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,22.4,1.6,68.8,197.1,0,3,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,31.42,0,67.58,457.47,0,3.5,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,37.6,0,28,196.01,0,2,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,22.4,0,66.4,322.61,0,2,Praslin,PC,gra,0,1,0
0.2,1,2,0.25,0,0,2,10.4,0,36.8,221.52,0,3.5,Praslin,PC,gra,0,1,0
0.2,1,2,0.25,0,0,2,7.2,0,56,420.59,0,2.5,Praslin,PC,gra,0,1,0
1.333333333,5,13,0.25,0,0,13,24,0,14.67,205.91,0,3,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,27,0,28,121.41,0,2,Praslin,PC,car,0,0,1
0.666666667,3,7,0.25,0,3,3,17.33,0,53.33,279.15,0,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,24,0,32,538.29,1,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,25,0,46,531.88,0,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,24.8,0,52.8,186.57,4,2.5,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,34.67,0,48.67,254.54,0,1.5,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,43.2,0,19.2,960.92,1,1.5,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,22.67,0,50.67,708.6,0,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,12,20,26,156.58,2,2,Mahe,ME,car,0,0,1
1,4,10,0.25,5,5,0,0,0,54,247.67,7,2,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,2.67,12,14.67,330.36,4,2.5,Mahe,ME,car,0,0,1
1,4,10,0.25,0,10,0,0,8,44,172.39,0,1.5,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,0,10,58,709.46,0,2,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,2,12,6,437.77,0,3,Mahe,ME,car,0,0,1
0.5,2,5,0.25,5,0,0,0,14,66,96.75,10,2,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,0,2,58,23.21,0,1.5,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,8,0,62,154.76,0,2.5,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,0,0,36,45.49,0,2.5,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,30,0,4,333,0,2,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,40,14,42,301.34,0,1.5,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,8,10,40,211.79,0,1.5,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,16,2,60,0,0,1,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,34,0,32,46.29,0,1,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,51.5,4,24,333.76,0,1.5,Mahe,ME,gra,0,1,0
0.5,2,5,0.25,0,0,5,8,2,28,129.03,0,1.5,Mahe,ME,pat,1,0,0
1,4,10,0.25,0,0,10,0,0,8,290.12,0,1,Mahe,ME,pat,1,0,0
0.5,2,5,0.25,0,0,5,0,4,12,176.57,0,0.5,Mahe,ME,pat,1,0,0
1.5,6,15,0.25,5,0,10,0,20,0,836.6,0,1,Mahe,ME,pat,1,0,0
5,20,50,0.25,10,0,40,0,12,0,110.35,1,1.5,Mahe,ME,pat,1,0,0
1.5,6,15,0.25,0,5,10,0,6,0,562.36,2,2.5,Mahe,ME,pat,1,0,0
1,4,10,0.25,5,0,5,0,12,0,311.28,8,3,Mahe,ME,pat,1,0,0
5,20,50,0.25,50,0,0,0,16,0,349.53,5,3,Mahe,ME,pat,1,0,0
0,0,0,0.25,0,0,0,0,20,0,558.22,0,3,Mahe,MNW,car,0,0,1
0,0,0,0.25,0,0,0,12,8,0,306.61,0,2.5,Mahe,MNW,car,0,0,1
0,0,0,0.25,0,0,0,12,12,0,542.48,2,3,Mahe,MNW,car,0,0,1
1,4,10,0.25,0,5,5,0,10,0,359.34,3,3,Mahe,MNW,car,0,0,1
0,0,0,0.25,0,0,0,0,0,0,671.45,2,2.5,Mahe,MNW,car,0,0,1
0,0,0,0.25,0,0,0,8,8,0,569.54,4,2.5,Mahe,MNW,car,0,0,1
1,4,10,0.25,5,0,5,40,8,0,533.44,2,2.5,Mahe,MNW,car,0,0,1
0,0,0,0.25,0,0,0,48,8,0,614.57,5,3,Mahe,MNW,car,0,0,1
3,12,30,0.25,0,10,20,20,4,0,845,5,4,Mahe,MNW,gra,0,1,0
7,28,70,0.25,0,20,50,0,0,0,310.13,2,3.5,Mahe,MNW,gra,0,1,0
4,16,40,0.25,0,0,40,2,6,0,449.22,6,4,Mahe,MNW,gra,0,1,0
2,8,20,0.25,0,15,5,0,4,0,512.04,5,4,Mahe,MNW,gra,0,1,0
0,0,0,0.25,0,0,0,2,12,0,607.48,5,3,Mahe,MNW,gra,0,1,0
1,4,10,0.25,5,5,0,8,8,0,181.97,6,3,Mahe,MNW,gra,0,1,0
1,4,10,0.25,10,0,0,0,4,0,294.49,5,2.5,Mahe,MNW,gra,0,1,0
0,0,0,0.25,0,0,0,0,8,0,901.27,1,3,Mahe,MNW,gra,0,1,0
0.666666667,3,7,0.25,0,0,7,17.33,0,0,186.74,14,3,Mahe,MNW,pat,1,0,0
0,0,0,0.25,0,0,0,16,4,0,233.1,9,3.5,Mahe,MNW,pat,1,0,0
1.5,6,15,0.25,0,10,5,14,0,0,421.8,10,3,Mahe,MNW,pat,1,0,0
0.5,2,5,0.25,0,0,5,6,0,0,443.73,4,2,Mahe,MNW,pat,1,0,0
0.333333333,1,3,0.25,0,0,3,22.67,0,0,181.34,8,3,Mahe,MNW,pat,1,0,0
0.5,2,5,0.25,0,5,0,32,2,4,111.68,14,3,Mahe,MNW,pat,1,0,0
2,8,20,0.25,0,10,10,20,4,0,112.3,3,3,Mahe,MNW,pat,1,0,0
0,0,0,0.25,0,0,0,42,0,0,114.71,6,2.5,Mahe,MNW,pat,1,0,0
0,0,0,0.25,0,0,0,17.33,2.67,0,327.3,1,3,Mahe,MW,car,0,0,1
1,4,10,0.25,3,0,7,24,1.33,0,431.35,0,3,Mahe,MW,car,0,0,1
0,0,0,0.25,0,0,0,18.67,1.33,0,399.28,1,3,Mahe,MW,car,0,0,1
0.666666667,3,7,0.25,0,0,7,22.67,8,0,722.68,5,3,Mahe,MW,car,0,0,1
0.666666667,3,7,0.25,3,0,3,21.33,18.67,0,237.27,4,3,Mahe,MW,car,0,0,1
0,0,0,0.25,0,0,0,41.33,0,0,126.17,4,2,Mahe,MW,car,0,0,1
0,0,0,0.25,0,0,0,22.67,0,0,572.05,4,2.5,Mahe,MW,car,0,0,1
0,0,0,0.25,0,0,0,4,5.33,0,272.47,5,3,Mahe,MW,car,0,0,1
2,8,20,0.25,5,0,15,0,24,0,245.3,0,3,Mahe,MW,gra,0,1,0
2,8,20,0.25,0,0,20,12,16,0,378.76,0,4,Mahe,MW,gra,0,1,0
1.5,6,15,0.25,0,5,10,28,6,0,126.31,0,3.5,Mahe,MW,gra,0,1,0
2.5,10,25,0.25,0,5,20,0,30,0,315.88,3,3,Mahe,MW,gra,0,1,0
5,20,50,0.25,0,10,40,0,8,0,481.81,2,3,Mahe,MW,gra,0,1,0
2,8,20,0.25,0,10,10,4,16,0,300.47,0,2.5,Mahe,MW,gra,0,1,0
3,12,30,0.25,0,0,30,0,16,0,341.81,0,3.5,Mahe,MW,gra,0,1,0
1.5,6,15,0.25,5,0,10,10,14,0,488.8,1,3,Mahe,MW,gra,0,1,0
0,0,0,0.25,0,0,0,35,9,0,251.16,3,3,Mahe,MW,pat,1,0,0
0,0,0,0.25,0,0,0,1.33,0,0,192.63,2,2.5,Mahe,MW,pat,1,0,0
0,0,0,0.25,0,0,0,36,1.33,0,346.54,14,2,Mahe,MW,pat,1,0,0
0,0,0,0.25,0,0,0,21.33,2.67,0,490.77,8,3,Mahe,MW,pat,1,0,0
0.666666667,3,7,0.25,7,0,0,28,10.67,0,442.13,7,3,Mahe,MW,pat,1,0,0
0,0,0,0.25,0,0,0,60,1.33,0,270.63,15,2.5,Mahe,MW,pat,1,0,0
0.333333333,1,3,0.25,3,0,0,21.33,4,0,312.38,9,3,Mahe,MW,pat,1,0,0
0,0,0,0.25,0,0,0,28,5.33,0,400.16,8,3,Mahe,MW,pat,1,0,0
0,0,0,0.25,0,0,0,45.33,0,54.67,0,0,1,Praslin,PNE,car,0,0,1
0,0,0,0.25,0,0,0,48,0,42.67,10.12,1,0.5,Praslin,PNE,car,0,0,1
0,0,0,0.25,0,0,0,32,0,56,99,5,1,Praslin,PNE,car,0,0,1
0.333333333,1,3,0.25,0,3,0,25.33,0,0,111.57,3,0.5,Praslin,PNE,car,0,0,1
0,0,0,0.25,0,0,0,41.33,0,0,41.17,0,0.5,Praslin,PNE,car,0,0,1
0.25,1,3,0.25,0,3,0,34,0,20,6.2,0,0,Praslin,PNE,car,0,0,1
0,0,0,0.25,0,0,0,3,0,96,89.97,0,1,Praslin,PNE,car,0,0,1
0,0,0,0.25,0,0,0,9.33,0,76,376.47,2,1,Praslin,PNE,car,0,0,1
1.333333333,5,13,0.25,0,0,13,10.67,0,0,334.97,0,3,Praslin,PNE,gra,0,1,0
0.666666667,3,7,0.25,0,3,3,16,12,0,504.39,5,2.5,Praslin,PNE,gra,0,1,0
0.666666667,3,7,0.25,3,0,3,48,4,0,426.07,7,3.5,Praslin,PNE,gra,0,1,0
1.666666667,7,17,0.25,0,0,17,8,12,0,414.5,1,3,Praslin,PNE,gra,0,1,0
1,4,10,0.25,0,3,7,6.67,0,0,442.84,2,4,Praslin,PNE,gra,0,1,0
2.5,10,25,0.25,5,0,20,32,2,0,455.79,0,3,Praslin,PNE,gra,0,1,0
0.25,1,3,0.25,0,0,3,25,2,1,582,0,3.5,Praslin,PNE,gra,0,1,0
1,4,10,0.25,0,0,10,18,2,0,400.58,3,4,Praslin,PNE,gra,0,1,0
0.666666667,3,7,0.25,3,3,0,57.33,0,1.33,213,14,2.5,Praslin,PNE,pat,1,0,0
0.666666667,3,7,0.25,0,0,7,60,0,0,189.35,1,1,Praslin,PNE,pat,1,0,0
0.666666667,3,7,0.25,0,7,0,44,0,0,56.4,6,2,Praslin,PNE,pat,1,0,0
0.5,2,5,0.25,5,0,0,54,0,0,35.59,0,1.5,Praslin,PNE,pat,1,0,0
1,4,10,0.25,3,8,0,53,0,0,12.48,0,1.5,Praslin,PNE,pat,1,0,0
1.333333333,5,13,0.25,3,3,7,54.67,0,0,94.98,7,2,Praslin,PNE,pat,1,0,0
0.25,1,3,0.25,0,3,0,50,0,0,148.32,0,0.5,Praslin,PNE,pat,1,0,0
0,0,0,0.25,0,0,0,69.33,0,0,16.9,0,0.5,Praslin,PNE,pat,1,0,0
0,0,0,0.25,0,0,0,0,17.33,78.67,139.23,1,2,Praslin,PSW,car,0,0,1
0,0,0,0.25,0,0,0,8,1.33,85.33,97.38,3,1.5,Praslin,PSW,car,0,0,1
0,0,0,0.25,0,0,0,14,0,84,162.18,0,1.5,Praslin,PSW,car,0,0,1
0,0,0,0.25,0,0,0,15,3,75,131.4,0,1,Praslin,PSW,car,0,0,1
0.5,2,5,0.25,0,5,0,2,8,88,189.17,0,1.5,Praslin,PSW,car,0,0,1
0,0,0,0.25,0,0,0,29.33,0,61.33,162.01,2,2,Praslin,PSW,car,0,0,1
3,12,30,0.25,30,0,0,10,44,0,300.9,10,3,Praslin,PSW,car,0,0,1
0.666666667,3,7,0.25,7,0,0,21.33,29.33,32,930.3,8,2.5,Praslin,PSW,car,0,0,1
1.666666667,7,17,0.25,0,0,17,0,9.33,1.33,448.08,0,4,Praslin,PSW,gra,0,1,0
0.666666667,3,7,0.25,0,0,7,26.67,4,0,396.81,0,3,Praslin,PSW,gra,0,1,0
0.5,2,5,0.25,0,0,5,17,13,0,410.34,0,2.5,Praslin,PSW,gra,0,1,0
3.333333333,13,33,0.25,0,3,30,0,6.67,2.67,1983.18,0,3.5,Praslin,PSW,gra,0,1,0
1.5,6,15,0.25,5,5,5,32,2,0,476.53,0,4,Praslin,PSW,gra,0,1,0
2.666666667,11,27,0.25,0,20,7,6.67,9.33,0,470.98,0,3,Praslin,PSW,gra,0,1,0
1.333333333,5,13,0.25,0,3,10,32,1.33,0,427.71,0,4.5,Praslin,PSW,gra,0,1,0
0.333333333,1,3,0.25,0,0,3,1.33,6.67,0,528.32,0,3,Praslin,PSW,gra,0,1,0
1,4,10,0.25,0,5,5,0,52,0,353.96,1,3.5,Praslin,PSW,pat,1,0,0
0.333333333,1,3,0.25,0,0,3,6.67,50.67,0,408.34,4,2.5,Praslin,PSW,pat,1,0,0
0.666666667,3,7,0.25,3,0,3,29.33,10.67,0,182.62,2,2.5,Praslin,PSW,pat,1,0,0
2,8,20,0.25,0,13,7,0,40,0,103.17,5,3.5,Praslin,PSW,pat,1,0,0
2,8,20,0.25,20,0,0,0,24,0,353.32,2,3,Praslin,PSW,pat,1,0,0
0.5,2,5,0.25,0,5,0,0,60,0,384.09,2,3,Praslin,PSW,pat,1,0,0
1,4,10,0.25,0,10,0,0,50,0,388.26,2,3,Praslin,PSW,pat,1,0,0
0,0,0,0.25,0,0,0,0,30,0,386.71,12,3,Praslin,PSW,pat,1,0,0
0,0,0,0.25,0,0,0,1.33,2.67,38.67,298.2,1,2,Mahe,MSA,car,0,0,1
0,0,0,0.25,0,0,0,9.33,0,70.67,325.16,0,1.5,Mahe,MSA,car,0,0,1
0,0,0,0.25,0,0,0,18.67,0,61.33,303.86,0,1.5,Mahe,MSA,car,0,0,1
0.333333333,1,3,0.25,0,3,0,49.33,0,24,306.18,4,1,Mahe,MSA,car,0,0,1
0,0,0,0.25,0,0,0,57.33,0,2.67,345.86,4,0.5,Mahe,MSA,car,0,0,1
2,8,20,0.25,0,20,0,22,0,46,550.69,0,1,Mahe,MSA,car,0,0,1
0.333333333,1,3,0.25,0,3,0,28,0,53.33,158.72,0,2,Mahe,MSA,car,0,0,1
0,0,0,0.25,0,0,0,26.67,0,68,155.31,0,1,Mahe,MSA,car,0,0,1
0.5,2,5,0.25,0,0,5,0,0,22,367.7,0,3,Mahe,MSA,gra,0,1,0
1.5,6,15,0.25,0,5,10,2,2,16,533.34,0,2.5,Mahe,MSA,gra,0,1,0
1,4,10,0.25,0,0,10,14,0,0,801.14,0,3,Mahe,MSA,gra,0,1,0
2,8,20,0.25,0,0,20,12,0,0,1075.58,0,3.5,Mahe,MSA,gra,0,1,0
1,4,10,0.25,0,0,10,0,8,0,765.29,0,4,Mahe,MSA,gra,0,1,0
4,16,40,0.25,10,10,20,0,4,0,535.44,0,3,Mahe,MSA,gra,0,1,0
1,4,10,0.25,0,10,0,0,40,0,542.95,0,3.5,Mahe,MSA,gra,0,1,0
2,8,20,0.25,0,0,20,0,4,0,701.92,0,3.5,Mahe,MSA,gra,0,1,0
0,0,0,0.25,0,0,0,74,0,0,175.52,11,1,Mahe,MSA,pat,1,0,0
0,0,0,0.25,0,0,0,34.67,0,0,265.92,8,2,Mahe,MSA,pat,1,0,0
0,0,0,0.25,0,0,0,42.67,0,34.67,359.06,24,2.5,Mahe,MSA,pat,1,0,0
0,0,0,0.25,0,0,0,0,0,0,65.96,15,2.5,Mahe,MSA,pat,1,0,0
0,0,0,0.25,0,0,0,58,0,0,1708.41,7,2.5,Mahe,MSA,pat,1,0,0
0,0,0,0.25,0,0,0,56,0,0,340.35,11,2.5,Mahe,MSA,pat,1,0,0
0,0,0,0.25,0,0,0,44,0,0,607.93,8,2.5,Mahe,MSA,pat,1,0,0
1,4,10,0.25,0,0,10,4,0,0,201.8,16,3,Mahe,MSA,pat,1,0,0
